UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
218690,3,R,169,R,76,R,93,Z,0,R,3,R,39,R,17,R,1,R,88,R,15,R,1,R,5,Z,0,R,147,R,18,R,4,Z,0
218706,3,R,97,R,43,R,54,Z,0,R,1,R,15,R,4,Z,0,R,69,R,3,Z,0,R,5,Z,0,R,78,R,15,R,4,Z,0
218724,5,R,1811,R,751,R,1060,R,4,R,22,R,228,R,104,R,3,R,1309,R,74,R,47,R,20,R,0,R,1638,R,149,R,24,R,0
218724,7,R,209,R,86,R,123,R,0,R,2,R,25,R,6,R,0,R,158,R,4,R,1,R,13,R,0,R,100,R,91,R,18,R,0
218724,9,R,21,R,9,R,12,R,1,R,1,R,1,R,1,R,0,R,15,R,0,R,0,R,2,R,0,R,0,R,9,R,12,R,0
218724,10,R,5,R,1,R,4,R,0,R,0,R,2,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,4,R,1,R,0
218733,5,R,268,R,107,R,161,R,1,R,1,R,252,R,1,R,0,R,8,R,3,R,2,R,0,R,0,R,218,R,45,R,5,R,0
218733,7,R,52,R,15,R,37,R,0,R,1,R,35,R,1,R,0,R,13,R,1,R,0,R,1,R,0,R,14,R,35,R,3,R,0
218733,9,R,27,R,10,R,17,R,0,R,0,R,22,R,0,R,0,R,5,R,0,R,0,R,0,R,0,R,0,R,3,R,24,R,0
218733,10,R,9,R,0,R,9,R,0,R,0,R,7,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,2,R,7,R,0
218742,5,R,992,R,319,R,673,R,1,R,24,R,277,R,91,Z,0,R,525,R,45,R,12,R,17,Z,0,R,676,R,255,R,61,Z,0
218742,7,R,241,R,44,R,197,Z,0,R,2,R,30,R,8,Z,0,R,190,R,7,R,2,R,2,Z,0,R,19,R,150,R,72,Z,0
218742,12,R,6,Z,0,R,6,Z,0,Z,0,R,3,Z,0,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,R,6,Z,0,Z,0,Z,0
218751,9,R,83,R,43,R,40,R,0,R,1,R,7,R,15,R,0,R,56,R,0,R,4,R,0,R,0,R,5,R,76,R,2,R,0
218821,3,R,249,R,115,R,134,R,0,R,2,R,68,R,31,R,0,R,133,R,15,R,0,R,0,R,0,R,238,R,10,R,1,R,0
218821,5,R,67,R,32,R,35,R,0,R,1,R,17,R,6,R,0,R,41,R,1,R,0,R,1,R,0,R,54,R,9,R,4,R,0
218830,2,R,57,R,4,R,53,R,0,R,2,R,17,R,5,R,0,R,32,R,1,R,0,R,0,R,0,R,25,R,22,R,10,R,0
218830,3,R,793,R,319,R,474,R,2,R,36,R,114,R,72,R,0,R,523,R,30,R,16,R,0,R,6,R,418,R,289,R,80,R,0
218830,12,R,712,R,364,R,348,R,1,R,24,R,112,R,76,R,0,R,446,R,41,R,12,R,0,R,8,R,409,R,218,R,77,R,0
218858,2,R,7,R,0,R,7,R,0,R,0,R,6,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,3,R,3,R,1,R,0
218858,3,R,351,R,121,R,230,R,1,R,3,R,101,R,17,R,0,R,210,R,19,R,0,R,0,R,0,R,177,R,124,R,50,R,0
218858,12,R,350,R,206,R,144,R,2,R,1,R,126,R,16,R,1,R,190,R,14,R,0,R,0,R,0,R,160,R,118,R,72,R,0
218885,2,R,92,R,3,R,89,R,1,R,0,R,23,R,9,R,0,R,55,R,3,R,1,R,0,R,0,R,42,R,42,R,8,R,0
218885,3,R,823,R,367,R,456,R,2,R,19,R,68,R,50,R,0,R,631,R,42,R,11,R,0,R,0,R,552,R,228,R,43,R,0
218885,11,R,84,R,56,R,28,R,0,R,0,R,11,R,7,R,0,R,60,R,3,R,3,R,0,R,3,R,55,R,18,R,8,R,0
218885,12,R,1247,R,591,R,656,R,2,R,26,R,66,R,83,R,0,R,1001,R,51,R,18,R,0,R,1,R,1030,R,170,R,46,R,0
218894,2,R,251,R,97,R,154,R,1,R,7,R,59,R,11,R,0,R,147,R,5,R,21,Z,0,R,2,R,101,R,109,R,39,R,0
218894,3,R,1594,R,547,R,1047,R,4,R,37,R,405,R,84,R,6,R,872,R,89,R,97,Z,0,R,105,R,717,R,560,R,212,R,0
218894,12,R,904,R,330,R,574,R,1,R,17,R,284,R,46,R,3,R,435,R,44,R,74,Z,0,R,24,R,379,R,325,R,176,R,0
218919,5,R,58,R,21,R,37,R,0,R,0,R,52,R,2,R,0,R,0,R,3,R,0,R,1,R,0,R,36,R,8,R,14,R,0
218919,7,R,20,R,2,R,18,R,0,R,0,R,18,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,3,R,3,R,14,R,0
218955,2,R,8,R,0,R,8,R,0,R,0,R,7,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,1,R,7,R,0,R,0
218955,3,R,50,R,5,R,45,R,0,R,0,R,25,R,1,R,0,R,24,R,0,R,0,R,0,R,0,R,23,R,21,R,6,R,0
218955,12,R,114,R,44,R,70,R,0,R,0,R,82,R,1,R,1,R,28,R,0,R,2,R,0,R,14,R,71,R,16,R,13,R,0
218964,5,R,790,R,253,R,537,R,3,R,12,R,244,R,52,R,0,R,432,R,37,R,0,R,10,R,0,R,691,R,83,R,16,R,0
218964,7,R,335,R,70,R,265,R,1,R,2,R,116,R,20,R,0,R,166,R,21,R,0,R,9,R,0,R,92,R,183,R,60,R,0
218964,10,R,40,R,2,R,38,R,0,R,0,R,10,R,0,R,0,R,29,R,1,R,0,R,0,R,0,R,13,R,22,R,5,R,0
218973,5,R,436,R,200,R,236,R,3,R,8,R,19,R,27,R,0,R,358,R,17,R,0,R,4,R,0,R,435,R,1,R,0,R,0
218991,2,R,46,R,14,R,32,R,0,R,2,R,4,R,8,R,0,R,30,R,1,R,1,R,0,R,0,R,25,R,12,R,9,R,0
218991,3,R,643,R,257,R,386,R,4,R,16,R,125,R,61,R,0,R,390,R,37,R,10,R,0,R,1,R,373,R,187,R,82,R,0
218991,12,R,661,R,276,R,385,R,3,R,18,R,133,R,64,R,0,R,399,R,34,R,10,R,0,R,6,R,441,R,149,R,65,R,0
219000,5,R,351,R,135,R,216,R,4,R,5,R,8,R,16,R,1,R,286,R,7,R,0,R,24,R,0,R,324,R,24,R,3,R,0
